id,type,text,question_images,answer_images,options,answers,explanation
89,mcq,"A company is testing the security of a foundation model (FM). During testing, the company wants to get around the safety features and make harmful content. Which security technique is this an example of?",,,A.Fuzzing training data to find vulnerabilities|B.Denial of service (DoS)|C.Penetration testing with authorization|D.Jailbreak,D,
90,mcq,A company needs to use Amazon SageMaker for model training and inference. The company must comply with regulatory requirements to run SageMaker jobs in an isolated environment without internet access. Which solution will meet these requirements?,,,A.Run SageMaker training and inference by using SageMaker Experiments.|B.Run SageMaker training and Inference by using network Isolation.|C.Encrypt the data at rest by using encryption for SageMaker geospatial capabilities.|D.Associate appropriate AWS Identity and Access Management (IAM) roles with the SageMaker jobs.,B,
91,mcq,An ML research team develops custom ML models. The model artifacts are shared with other teams for integration into products and services. The ML team retains the model training code and data. The ML team wants to build a mechanism that the ML team can use to audit models. Which solution should the ML team use when publishing the custom ML models?,,,A.Create documents with the relevant information. Store the documents in Amazon S3.|B.Use AWS AI Service Cards for transparency and understanding models.|C.Create Amazon SageMaker Model Cards with intended uses and training and inference details.|D.Create model training scripts. Commit the model training scripts to a Git repository.,C,
92,mcq,A software company builds tools for customers. The company wants to use AI to increase software development productivity. Which solution will meet these requirements?,,,A.Use a binary classification model to generate code reviews.|B.Install code recommendation software in the company's developer tools.|C.Install a code forecasting tool to predict potential code issues.|D.Use a natural language processing (NLP) tool to generate code.,B,
93,mcq,A retail store wants to predict the demand for a specific product for the next few weeks by using the Amazon SageMaker DeepAR forecasting algorithm. Which type of data will meet this requirement?,,,A.Text data|B.Image data|C.Time series data|D.Binary data,C,
94,mcq,A large retail bank wants to develop an ML system to help the risk management team decide on loan allocations for different demographics. What must the bank do to develop an unbiased ML model?,,,A.Reduce the size of the training dataset.|B.Ensure that the ML model predictions are consistent with historical results.|C.Create a different ML model for each demographic group.|D.Measure class imbalance on the training dataset. Adapt the training process accordingly.,D,
95,mcq,Which prompting technique can protect against prompt injection attacks?,,,A.Adversarial prompting|B.Zero-shot prompting|C.Least-to-most prompting|D.Chain-of-thought prompting,A,
96,mcq,A company has fine-tuned a large language model (LLM) to answer questions for a help desk. The company wants to determine if the fine-tuning has enhanced the model's accuracy. Which metric should the company use for the evaluation?,,,A.Precision|B.Time to first token|C.F1 score|D.Word error rate,C,
97,mcq,A company is using Retrieval Augmented Generation (RAG) with Amazon Bedrock and Stable Diffusion to generate product images based on text descriptions. The results are often random and lack specific details. The company wants to increase the specificity of the generated images. Which solution meets these requirements?,,,A.Increase the number of generation steps.|B.Use the MASK_IMAGE_BLACK mask source option.|C.Increase the classifier-free guidance (CFG) scale.|D.Increase the prompt strength.,C,
98,mcq,A company wants to implement a large language model (LLM) based chatbot to provide customer service agents with real-time contextual responses to customers' inquiries. The company will use the company's policies as the knowledge base. Which solution will meet these requirements MOST cost-effectively?,,,A.Retrain the LLM on the company policy data.|B.Fine-tune the LLM on the company policy data.|C.Implement Retrieval Augmented Generation (RAG) for in-context responses.|D.Use pre-training and data augmentation on the company policy data.,C,
99,mcq,A company wants to create a new solution by using AWS Glue. The company has minimal programming experience with AWS Glue. Which AWS service can help the company use AWS Glue?,,,A.Amazon Q Developer|B.AWS Config|C.Amazon Personalize|D.Amazon Comprehend,A,
100,mcq,"A company is developing a mobile ML app that uses a phone's camera to diagnose and treat insect bites. The company wants to train an image classification model by using a diverse dataset of insect bite photos from different genders, ethnicities, and geographic locations around the world. Which principle of responsible AI does the company demonstrate in this scenario?",,,A.Fairness|B.Explainability|C.Governance|D.Transparency,A,
101,mcq,A company is developing an ML model to make loan approvals. The company must implement a solution to detect bias in the model. The company must also be able to explain the model's predictions. Which solution will meet these requirements?,,,A.Amazon SageMaker Clarify|B.Amazon SageMaker Data Wrangler|C.Amazon SageMaker Model Cards|D.AWS AI Service Cards,A,
102,mcq,A company has developed a generative text summarization model by using Amazon Bedrock. The company will use Amazon Bedrock automatic model evaluation capabilities. Which metric should the company use to evaluate the accuracy of the model?,,,A.Area Under the ROC Curve (AUC) score|B.F1 score|C.BERTScore|D.Real world knowledge (RWK) score,C,
103,mcq,"An AI practitioner wants to predict the classification of flowers based on petal length, petal width, sepal length, and sepal width. Which algorithm meets these requirements?",,,A.K-nearest neighbors (k-NN)|B.K-mean|C.Autoregressive Integrated Moving Average (ARIMA)|D.Linear regression,A,
104,mcq,A company is using custom models in Amazon Bedrock for a generative AI application. The company wants to use a company managed encryption key to encrypt the model artifacts that the model customization jobs create. Which AWS service meets these requirements?,,,A.AWS Key Management Service (AWS KMS)|B.Amazon Inspector|C.Amazon Macie|D.AWS Secrets Manager,A,
105,mcq,A company wants to use large language models (LLMs) to produce code from natural language code comments. Which LLM feature meets these requirements?,,,A.Text summarization|B.Text generation|C.Text completion|D.Text classification,B,
106,mcq,A company is introducing a mobile app that helps users learn foreign languages. The app makes text more coherent by calling a large language model (LLM). The company collected a diverse dataset of text and supplemented the dataset with examples of more readable versions. The company wants the LLM output to resemble the provided examples. Which metric should the company use to assess whether the LLM meets these requirements?,,,A.Value of the loss function|B.Semantic robustness|C.Recall-Oriented Understudy for Gisting Evaluation (ROUGE) score|D.Latency of the text generation,C,
107,mcq,A company notices that its foundation model (FM) generates images that are unrelated to the prompts. The company wants to modify the prompt techniques to decrease unrelated images. Which solution meets these requirements?,,,A.Use zero-shot prompts.|B.Use negative prompts.|C.Use positive prompts.|D.Use ambiguous prompts.,B,
108,mcq,"A company wants to use a large language model (LLM) to generate concise, feature-specific descriptions for the company’s products. Which prompt engineering technique meets these requirements?",,,"A.Create one prompt that covers all products. Edit the responses to make the responses more specific, concise, and tailored to each product.|B.Create prompts for each product category that highlight the key features. Include the desired output format and length for each prompt response.|C.Include a diverse range of product features in each prompt to generate creative and unique descriptions.|D.Provide detailed, product-specific prompts to ensure precise and customized descriptions.",B,
109,mcq,A company is developing an ML model to predict customer churn. The model performs well on the training dataset but does not accurately predict churn for new data. Which solution will resolve this issue?,,,A.Decrease the regularization parameter to increase model complexity.|B.Increase the regularization parameter to decrease model complexity.|C.Add more features to the input data.|D.Train the model for more epochs.,B,
110,mcq,A company is implementing intelligent agents to provide conversational search experiences for its customers. The company needs a database service that will support storage and queries of embeddings from a generative AI model as vectors in the database. Which AWS service will meet these requirements?,,,A.Amazon Athena|B.Amazon Aurora PostgreSQL|C.Amazon Redshift|D.Amazon EMR,B,
111,mcq,"A financial institution is building an AI solution to make loan approval decisions by using a foundation model (FM). For security and audit purposes, the company needs the AI solution's decisions to be explainable. Which factor relates to the explainability of the AI solution's decisions?",,,A.Model complexity|B.Training time|C.Number of hyperparameters|D.Deployment time,A,
112,mcq,A pharmaceutical company wants to analyze user reviews of new medications and provide a concise overview for each medication. Which solution meets these requirements?,,,A.Create a time-series forecasting model to analyze the medication reviews by using Amazon Personalize.|B.Create medication review summaries by using Amazon Bedrock large language models (LLMs).|C.Create a classification model that categorizes medications into different groups by using Amazon SageMaker.|D.Create medication review summaries by using Amazon Rekognition.,B,
113,mcq,A company wants to build a lead prioritization application for its employees to contact potential customers. The application must give employees the ability to view and adjust the weights assigned to different variables in the model based on domain knowledge and expertise. Which ML model type meets these requirements?,,,A.Logistic regression model|B.Deep learning model built on principal components|C.K-nearest neighbors (k-NN) model|D.Neural network,A,
114,hotspot,HOTSPOT - A company wants to build an ML application. Select and order the correct steps from the following list to develop a well-architected ML workload. Each step should be selected one time.,images/aifc01_topic1_q113_image1.png,images/aifc01_topic1_q113_image2.png,Deploy Model|Develop Model|Monitor Model|Define business goal and frame ML problem,Define business goal and frame ML problem|Develop Model|Deploy Model|Monitor Model,
115,mcq,Which strategy will determine if a foundation model (FM) effectively meets business objectives?,,,A.Evaluate the model's performance on benchmark datasets.|B.Analyze the model's architecture and hyperparameters.|C.Assess the model's alignment with specific use cases.|D.Measure the computational resources required for model deployment.,C,
116,mcq,A company needs to train an ML model to classify images of different types of animals. The company has a large dataset of labeled images and will not label more data. Which type of learning should the company use to train the model?,,,A.Supervised learning|B.Unsupervised learning|C.Reinforcement learning|D.Active learning,A,
117,mcq,Which phase of the ML lifecycle determines compliance and regulatory requirements?,,,A.Feature engineering|B.Model training|C.Data collection|D.Business goal identification,D,
118,mcq,A food service company wants to develop an ML model to help decrease daily food waste and increase sales revenue. The company needs to continuously improve the model's accuracy. Which solution meets these requirements?,,,A.Use Amazon SageMaker and iterate with newer data.|B.Use Amazon Personalize and iterate with historical data.|C.Use Amazon CloudWatch to analyze customer orders.|D.Use Amazon Rekognition to optimize the model.,A,
119,mcq,A company has developed an ML model to predict real estate sale prices. The company wants to deploy the model to make predictions without managing servers or infrastructure. Which solution meets these requirements?,,,A.Deploy the model on an Amazon EC2 instance.|B.Deploy the model on an Amazon Elastic Kubernetes Service (Amazon EKS) cluster.|C.Deploy the model by using Amazon CloudFront with an Amazon S3 integration.|D.Deploy the model by using an Amazon SageMaker endpoint.,D,
120,mcq,"A company wants to develop an AI application to help its employees check open customer claims, identify details for a specific claim, and access documents for a claim. Which solution meets these requirements?",,,A.Use Agents for Amazon Bedrock with Amazon Fraud Detector to build the application.|B.Use Agents for Amazon Bedrock with Amazon Bedrock knowledge bases to build the application.|C.Use Amazon Personalize with Amazon Bedrock knowledge bases to build the application.|D.Use Amazon SageMaker to build the application by training a new ML model.,B,
121,mcq,A manufacturing company uses AI to inspect products and find any damages or defects. Which type of AI application is the company using?,,,A.Recommendation system|B.Natural language processing (NLP)|C.Computer vision|D.Image processing,C,
122,mcq,A company wants to create an ML model to predict customer satisfaction. The company needs fully automated model tuning. Which AWS service meets these requirements?,,,A.Amazon Personalize|B.Amazon SageMaker|C.Amazon Athena|D.Amazon Comprehend,B,
123,mcq,Which technique can a company use to lower bias and toxicity in generative AI applications during the post-processing ML lifecycle?,,,A.Human-in-the-loop|B.Data augmentation|C.Feature engineering|D.Adversarial training,A,
124,mcq,"A bank has fine-tuned a large language model (LLM) to expedite the loan approval process. During an external audit of the model, the company discovered that the model was approving loans at a faster pace for a specific demographic than for other demographics. How should the bank fix this issue MOST cost-effectively?",,,A.Include more diverse training data. Fine-tune the model again by using the new data.|B.Use Retrieval Augmented Generation (RAG) with the fine-tuned model.|C.Use AWS Trusted Advisor checks to eliminate bias.|D.Pre-train a new LLM with more diverse training data.,A,
125,hotspot,HOTSPOT - A company has developed a large language model (LLM) and wants to make the LLM available to multiple internal teams. The company needs to select the appropriate inference mode for each team. Select the correct inference mode from the following list for each use case. Each inference mode should be selected one or more times.,images/aifc01_topic1_q124_image3.png,images/aifc01_topic1_q124_image4.png,Real-time inference|Batch Transform,Batch Transform|Real-time inference|Batch Transform,
126,mcq,A company needs to log all requests made to its Amazon Bedrock API. The company must retain the logs securely for 5 years at the lowest possible cost. Which combination of AWS service and storage class meets these requirements? (Choose two.),,,A.AWS CloudTrail|B.Amazon CloudWatch|C.AWS Audit Manager|D.Amazon S3 Intelligent-Tiering|E.Amazon S3 Standard,A|D,
127,mcq,An ecommerce company wants to improve search engine recommendations by customizing the results for each user of the company’s ecommerce platform. Which AWS service meets these requirements?,,,A.Amazon Personalize|B.Amazon Kendra|C.Amazon Rekognition|D.Amazon Transcribe,A,
128,mcq,"A hospital is developing an AI system to assist doctors in diagnosing diseases based on patient records and medical images. To comply with regulations, the sensitive patient data must not leave the country the data is located in. Which data governance strategy will ensure compliance and protect patient privacy?",,,A.Data residency|B.Data quality|C.Data discoverability|D.Data enrichment,A,
129,mcq,A company needs to monitor the performance of its ML systems by using a highly scalable AWS service. Which AWS service meets these requirements?,,,A.Amazon CloudWatch|B.AWS CloudTrail|C.AWS Trusted Advisor|D.AWS Config,A,
130,mcq,An AI practitioner is developing a prompt for an Amazon Titan model. The model is hosted on Amazon Bedrock. The AI practitioner is using the model to solve numerical reasoning challenges. The AI practitioner adds the following phrase to the end of the prompt: “Ask the model to show its work by explaining its reasoning step by step.” Which prompt engineering technique is the AI practitioner using?,,,A.Chain-of-thought prompting|B.Prompt injection|C.Few-shot prompting|D.Prompt templating,A,
131,mcq,Which AWS service makes foundation models (FMs) available to help users build and scale generative AI applications?,,,A.Amazon Q Developer|B.Amazon Bedrock|C.Amazon Kendra|D.Amazon Comprehend,B,
132,mcq,A company is building a mobile app for users who have a visual impairment. The app must be able to hear what users say and provide voice responses. Which solution will meet these requirements?,,,A.Use a deep learning neural network to perform speech recognition.|B.Build ML models to search for patterns in numeric data.|C.Use generative AI summarization to generate human-like text.|D.Build custom models for image classification and recognition.,A,
133,mcq,A company wants to enhance response quality for a large language model (LLM) for complex problem-solving tasks. The tasks require detailed reasoning and a step-by-step explanation process. Which prompt engineering technique meets these requirements?,,,A.Few-shot prompting|B.Zero-shot prompting|C.Directional stimulus prompting|D.Chain-of-thought prompting,D,
134,mcq,A company wants to keep its foundation model (FM) relevant by using the most recent data. The company wants to implement a model training strategy that includes regular updates to the FM. Which solution meets these requirements?,,,A.Batch learning|B.Continuous pre-training|C.Static training|D.Latent training,B,
135,hotspot,HOTSPOT - A company wants to develop ML applications to improve business operations and efficiency. Select the correct ML paradigm from the following list for each use case. Each ML paradigm should be selected one or more times.,images/aifc01_topic1_q134_image5.png,images/aifc01_topic1_q134_image6.png,Supervised Learning|Unsupervised Learning,Supervised Learning|Supervised Learning|Unsupervised Learning|Unsupervised Learning,
136,mcq,Which option is a characteristic of AI governance frameworks for building trust and deploying human-centered AI technologies?,,,"A.Expanding initiatives across business units to create long-term business value|B.Ensuring alignment with business standards, revenue goals, and stakeholder expectations|C.Overcoming challenges to drive business transformation and growth|D.Developing policies and guidelines for data, transparency, responsible AI, and compliance",D,
137,mcq,An ecommerce company is using a generative AI chatbot to respond to customer inquiries. The company wants to measure the financial effect of the chatbot on the company’s operations. Which metric should the company use?,,,A.Number of customer inquiries handled|B.Cost of training AI models|C.Cost for each customer conversation|D.Average handled time (AHT),C,
138,mcq,A company wants to find groups for its customers based on the customers’ demographics and buying patterns. Which algorithm should the company use to meet this requirement?,,,A.K-nearest neighbors (k-NN)|B.K-means|C.Decision tree|D.Support vector machine,B,
139,mcq,A company’s large language model (LLM) is experiencing hallucinations. How can the company decrease hallucinations?,,,A.Set up Agents for Amazon Bedrock to supervise the model training.|B.Use data pre-processing and remove any data that causes hallucinations.|C.Decrease the temperature inference parameter for the model.|D.Use a foundation model (FM) that is trained to not hallucinate.,C,
140,mcq,"A company is using a large language model (LLM) on Amazon Bedrock to build a chatbot. The chatbot processes customer support requests. To resolve a request, the customer and the chatbot must interact a few times. Which solution gives the LLM the ability to use content from previous customer messages?",,,A.Turn on model invocation logging to collect messages.|B.Add messages to the model prompt.|C.Use Amazon Personalize to save conversation history.|D.Use Provisioned Throughput for the LLM.,B,
141,mcq,A company’s employees provide product descriptions and recommendations to customers when customers call the customer service center. These recommendations are based on where the customers are located. The company wants to use foundation models (FMs) to automate this process. Which AWS service meets these requirements?,,,A.Amazon Macie|B.Amazon Transcribe|C.Amazon Bedrock|D.Amazon Textract,C,
142,mcq,A company wants to upload customer service email messages to Amazon S3 to develop a business analysis application. The messages sometimes contain sensitive data. The company wants to receive an alert every time sensitive information is found. Which solution fully automates the sensitive information detection process with the LEAST development effort?,,,A.Configure Amazon Macie to detect sensitive information in the documents that are uploaded to Amazon S3.|B.Use Amazon SageMaker endpoints to deploy a large language model (LLM) to redact sensitive data.|C.Develop multiple regex patterns to detect sensitive data. Expose the regex patterns on an Amazon SageMaker notebook.|D.Ask the customers to avoid sharing sensitive information in their email messages.,A,
143,hotspot,HOTSPOT - A company is training its employees on how to structure prompts for foundation models. Select the correct prompt engineering technique from the following list for each prompt template. Each prompt engineering technique should be selected one time.,images/aifc01_topic1_q142_image7.png,images/aifc01_topic1_q142_image8.png,Chain-of-thought reasoning|Few-shot Learning|Zero-shot Learning,Zero-shot Learning|Few-shot Learning|Chain-of-thought reasoning,
144,mcq,"A company wants to deploy some of its resources in the AWS Cloud. To meet regulatory requirements, the data must remain local and on premises. There must be low latency between AWS and the company resources. Which AWS service or feature can be used to meet these requirements?",,,A.AWS Local Zones|B.Availability Zones|C.AWS Outposts|D.AWS Wavelength Zones,C,
145,mcq,Which option is a benefit of using Amazon SageMaker Model Cards to document AI models?,,,"A.Providing a visually appealing summary of a mode’s capabilities.|B.Standardizing information about a model’s purpose, performance, and limitations.|C.Reducing the overall computational requirements of a model.|D.Physically storing models for archival purposes.",B,
146,mcq,What does an F1 score measure in the context of foundation model (FM) performance?,,,A.Model precision and recall|B.Model speed in generating responses|C.Financial cost of operating the model|D.Energy efficiency of the model’s computations,A,
147,mcq,A company deployed an AI/ML solution to help customer service agents respond to frequently asked questions. The questions can change over time. The company wants to give customer service agents the ability to ask questions and receive automatically generated answers to common customer questions. Which strategy will meet these requirements MOST cost-effectively?,,,A.Fine-tune the model regularly.|B.Train the model by using context data.|C.Pre-train and benchmark the model by using context data.|D.Use Retrieval Augmented Generation (RAG) with prompt engineering techniques.,D,
148,mcq,A company built an AI-powered resume screening system. The company used a large dataset to train the model. The dataset contained resumes that were not representative of all demographics. Which core dimension of responsible AI does this scenario present?,,,A.Fairness|B.Explainability|C.Privacy and security|D.Transparency,A,
149,mcq,A global financial company has developed an ML application to analyze stock market data and provide stock market trends. The company wants to continuously monitor the application development phases and to ensure that company policies and industry regulations are followed. Which AWS services will help the company assess compliance requirements? (Choose two.),,,A.AWS Audit Manager|B.AWS Config|C.Amazon Inspector|D.Amazon CloudWatch|E.AWS CloudTrail,A|B,
150,mcq,A company wants to improve the accuracy of the responses from a generative AI application. The application uses a foundation model (FM) on Amazon Bedrock. Which solution meets these requirements MOST cost-effectively?,,,A.Fine-tune the FM.|B.Retrain the FM.|C.Train a new FM.|D.Use prompt engineering.,D,
151,mcq,A company wants to identify harmful language in the comments section of social media posts by using an ML model. The company will not use labeled data to train the model. Which strategy should the company use to identify harmful language?,,,A.Use Amazon Rekognition moderation.|B.Use Amazon Comprehend toxicity detection.|C.Use Amazon SageMaker built-in algorithms to train the model.|D.Use Amazon Polly to monitor comments.,B,
152,mcq,A media company wants to analyze viewer behavior and demographics to recommend personalized content. The company wants to deploy a customized ML model in its production environment. The company also wants to observe if the model quality drifts over time. Which AWS service or feature meets these requirements?,,,A.Amazon Rekognition|B.Amazon SageMaker Clarify|C.Amazon Comprehend|D.Amazon SageMaker Model Monitor,D,
153,mcq,A company is deploying AI/ML models by using AWS services. The company wants to offer transparency into the models’ decision-making processes and provide explanations for the model outputs. Which AWS service or feature meets these requirements?,,,A.Amazon SageMaker Model Cards|B.Amazon Rekognition|C.Amazon Comprehend|D.Amazon Lex,A,
154,mcq,A manufacturing company wants to create product descriptions in multiple languages. Which AWS service will automate this task?,,,A.Amazon Translate|B.Amazon Transcribe|C.Amazon Kendra|D.Amazon Polly,A,
155,hotspot,HOTSPOT - A company wants more customized responses to its generative AI models’ prompts. Select the correct customization methodology from the following list for each use case. Each use case should be selected one time.,images/aifc01_topic1_q154_image11.png,images/aifc01_topic1_q154_image12.png,Continued pre-training|Data augmentation|Model fine-tuning,Model fine-tuning|Data augmentation|Continued pre-training,
156,mcq,Which AWS feature records details about ML instance data for governance and reporting?,,,A.Amazon SageMaker Model Cards|B.Amazon SageMaker Debugger|C.Amazon SageMaker Model Monitor|D.Amazon SageMaker JumpStart,A,
157,mcq,A financial company is using ML to help with some of the company’s tasks. Which option is a use of generative AI models?,,,A.Summarizing customer complaints|B.Classifying customers based on product usage|C.Segmenting customers based on type of investments|D.Forecasting revenue for certain products,A,
158,mcq,"A medical company wants to develop an AI application that can access structured patient records, extract relevant information, and generate concise summaries. Which solution will meet these requirements?",,,A.Use Amazon Comprehend Medical to extract relevant medical entities and relationships. Apply rule-based logic to structure and format summaries.|B.Use Amazon Personalize to analyze patient engagement patterns. Integrate the output with a general purpose text summarization tool.|C.Use Amazon Textract to convert scanned documents into digital text. Design a keyword extraction system to generate summaries.|D.Implement Amazon Kendra to provide a searchable index for medical records. Use a template-based system to format summaries.,A,
159,mcq,Which option describes embeddings in the context of AI?,,,A.A method for compressing large datasets|B.An encryption method for securing sensitive data|C.A method for visualizing high-dimensional data|D.A numerical method for data representation in a reduced dimensionality space,D,
160,mcq,"A company is building an AI application to summarize books of varying lengths. During testing, the application fails to summarize some books. Why does the application fail to summarize some books?",,,A.The temperature is set too high.|B.The selected model does not support fine-tuning.|C.The Top P value is too high.|D.The input tokens exceed the model’s context size.,D,
161,mcq,"An airline company wants to build a conversational AI assistant to answer customer questions about flight schedules, booking, and payments. The company wants to use large language models (LLMs) and a knowledge base to create a text-based chatbot interface. Which solution will meet these requirements with the LEAST development effort?",,,A.Train models on Amazon SageMaker Autopilot.|B.Develop a Retrieval Augmented Generation (RAG) agent by using Amazon Bedrock.|C.Create a Python application by using Amazon Q Developer.|D.Fine-tune models on Amazon SageMaker Jumpstart.,B,
162,mcq,What is tokenization used for in natural language processing (NLP)?,,,A.To encrypt text data|B.To compress text files|C.To break text into smaller units for processing|D.To translate text between languages,C,
163,mcq,Which option is a characteristic of transformer-based language models?,,,A.Transformer-based language models use convolutional layers to apply filters across an input to capture local patterns through filtered views.|B.Transformer-based language models can process only text data.|C.Transformer-based language models use self-attention mechanisms to capture contextual relationships.|D.Transformer-based language models process data sequences one element at a time in cyclic iterations.,C,
164,mcq,A financial company is using AI systems to obtain customer credit scores as part of the loan application process. The company wants to expand to a new market in a different geographic area. The company must ensure that it can operate in that geographic area. Which compliance laws should the company review?,,,A.Local health data protection laws|B.Local payment card data protection laws|C.Local education privacy laws|D.Local algorithm accountability laws,D,
165,mcq,A company uses Amazon Bedrock for its generative AI application. The company wants to use Amazon Bedrock Guardrails to detect and filter harmful user inputs and model-generated outputs. Which content categories can the guardrails filter? (Choose two.),,,A.Hate|B.Politics|C.Violence|D.Gambling|E.Religion,A|C,
166,mcq,Which scenario describes a potential risk and limitation of prompt engineering in the context of a generative AI model?,,,"A.Prompt engineering does not ensure that the model always produces consistent and deterministic outputs, eliminating the need for validation.|B.Prompt engineering could expose the model to vulnerabilities such as prompt injection attacks.|C.Properly designed prompts reduce but do not eliminate the risk of data poisoning or model hijacking.|D.Prompt engineering does not ensure that the model will consistently generate highly reliable outputs when working with real-world data.",B,
167,mcq,A publishing company built a Retrieval Augmented Generation (RAG) based solution to give its users the ability to interact with published content. New content is published daily. The company wants to provide a near real-time experience to users. Which steps in the RAG pipeline should the company implement by using offline batch processing to meet these requirements? (Choose two.),,,A.Generation of content embeddings|B.Generation of embeddings for user queries|C.Creation of the search index|D.Retrieval of relevant content|E.Response generation for the user,A|C,
168,mcq,Which technique breaks a complex task into smaller subtasks that are sent sequentially to a large language model (LLM)?,,,A.One-shot prompting|B.Prompt chaining|C.Tree of thoughts|D.Retrieval Augmented Generation (RAG),B,
169,mcq,An AI practitioner needs to improve the accuracy of a natural language generation model. The model uses rapidly changing inventory data. Which technique will improve the model's accuracy?,,,A.Transfer learning|B.Federated learning|C.Retrieval Augmented Generation (RAG)|D.One-shot prompting,C,
170,mcq,A company wants to collaborate with several research institutes to develop an AI model. The company needs standardized documentation of model version tracking and a record of model development. Which solution meets these requirements?,,,A.Track the model changes by using Git.|B.Track the model changes by using Amazon Fraud Detector.|C.Track the model changes by using Amazon SageMaker Model Cards.|D.Track the model changes by using Amazon Comprehend.,C,
171,mcq,A company that uses multiple ML models wants to identify changes in original model quality so that the company can resolve any issues. Which AWS service or feature meets these requirements?,,,A.Amazon SageMaker JumpStart|B.Amazon SageMaker HyperPod|C.Amazon SageMaker Data Wrangler|D.Amazon SageMaker Model Monitor,D,
172,mcq,What is the purpose of chunking in Retrieval Augmented Generation (RAG)?,,,A.To avoid database storage limitations for large text documents by storing parts or chunks of the text|B.To improve efficiency by avoiding the need to convert large text into vector embeddings|C.To improve the contextual relevancy of results retrieved from the vector index|D.To decrease the cost of storage by storing parts or chunks of the text,C,
173,mcq,"A company is developing an editorial assistant application that uses generative AI. During the pilot phase, usage is low and application performance is not a concern. The company cannot predict application usage after the application is fully deployed and wants to minimize application costs. Which solution will meet these requirements?",,,A.Use GPU-powered Amazon EC2 instances.|B.Use Amazon Bedrock with Provisioned Throughput.|C.Use Amazon Bedrock with On-Demand Throughput.|D.Use Amazon SageMaker JumpStart.,C,
174,mcq,A company deployed a Retrieval Augmented Generation (RAG) application on Amazon Bedrock that gathers financial news to distribute in daily newsletters. Users have recently reported politically influenced ideas in the newsletters. Which Amazon Bedrock guardrail can identify and filter this content?,,,A.Word filters|B.Denied topics|C.Sensitive information filters|D.Content filters,B,
175,mcq,A financial company is developing a fraud detection system that flags potential fraud cases in credit card transactions. Employees will evaluate the flagged fraud cases. The company wants to minimize the amount of time the employees spend reviewing flagged fraud cases that are not actually fraudulent. Which evaluation metric meets these requirements?,,,A.Recall|B.Accuracy|C.Precision|D.Lift chart,C,
176,mcq,A company designed an AI-powered agent to answer customer inquiries based on product manuals. Which strategy can improve customer confidence levels in the AI-powered agent's responses?,,,A.Writing the confidence level in the response|B.Including referenced product manual links in the response|C.Designing an agent avatar that looks like a computer|D.Training the agent to respond in the company's language style,B,
177,mcq,A hospital developed an AI system to provide personalized treatment recommendations for patients. The AI system must provide the rationale behind the recommendations and make the insights accessible to doctors and patients. Which human-centered design principle does this scenario present?,,,A.Explainability|B.Privacy and security|C.Fairness|D.Data governance,A,
178,mcq,Which statement presents an advantage of using Retrieval Augmented Generation (RAG) for natural language processing (NLP) tasks?,,,A.RAG can use external knowledge sources to generate more accurate and informative responses.|B.RAG is designed to improve the speed of language model training.|C.RAG is primarily used for speech recognition tasks.|D.RAG is a technique for data augmentation in computer vision tasks.,A,
179,mcq,A company has created a custom model by fine-tuning an existing large language model (LLM) from Amazon Bedrock. The company wants to deploy the model to production and use the model to handle a steady rate of requests each minute. Which solution meets these requirements MOST cost-effectively?,,,A.Deploy the model by using an Amazon EC2 compute optimized instance.|B.Use the model with on-demand throughput on Amazon Bedrock.|C.Store the model in Amazon S3 and host the model by using AWS Lambda.|D.Purchase Provisioned Throughput for the model on Amazon Bedrock.,D,
180,mcq,Which technique involves training AI models on labeled datasets to adapt the models to specific industry terminology and requirements?,,,A.Data augmentation|B.Fine-tuning|C.Model quantization|D.Continuous pre-training,B,
181,mcq,"A company is creating an agent for its application by using Amazon Bedrock Agents. The agent is performing well, but the company wants to improve the agent’s accuracy by providing some specific examples. Which solution meets these requirements?",,,A.Modify the advanced prompts for the agent to include the examples.|B.Create a guardrail for the agent that includes the examples.|C.Use Amazon SageMaker Ground Truth to label the examples.|D.Run a script in AWS Lambda that adds the examples to the training dataset.,A,
182,mcq,Which option is a benefit of using infrastructure as code (IaC) in machine learning operations (MLOps)?,,,"A.IaC eliminates the need for hyperparameter tuning.|B.IaC always provisions powerful compute instances, contributing to the training of more accurate models.|C.IaC streamlines the deployment of scalable and consistent ML workloads in cloud environments.|D.IaC minimizes overall expenses by deploying only low-cost instances.",C,
183,mcq,A company wants to fine-tune a foundation model (FM) to answer questions for a specific domain. The company wants to use instruction-based fine-tuning. How should the company prepare the training data?,,,A.Gather company internal documents and industry-specific materials. Merge the documents and materials into a single file.|B.Collect external company reviews from various online sources. Manually label each review as either positive or negative.|C.Create pairs of questions and answers that specifically address topics related to the company's industry domain.|D.Create few-shot prompts to instruct the model to answer only domain knowledge.,C,
184,mcq,Which ML technique ensures data compliance and privacy when training AI models on AWS?,,,A.Reinforcement learning|B.Transfer learning|C.Federated learning|D.Unsupervised learning,C,
185,hotspot,HOTSPOT - A company needs to customize a base model that is hosted on Amazon Bedrock. Select the correct model customization method from the following list of company requirements. Each model customization method should be selected one or more times.,images/aifc01_topic1_q184_image13.png,images/aifc01_topic1_q184_image14.png,Fine-tuning|Continued pre-training,Fine-tuning|Continued pre-training|Continued pre-training,
